base_seed,theta_commit,n_scorable_progress_points,status,first_crossing,sustained_crossing
0,0.5,8,CROSSING,0.6,0.6
1,0.5,8,CROSSING,0.45,0.45
2,0.5,8,CROSSING,0.6,0.6
3,0.5,8,CROSSING,0.25,0.45
4,0.5,8,CROSSING,0.45,0.45
5,0.5,8,CROSSING,0.6,0.6
6,0.5,8,CROSSING,0.35,0.35
7,0.5,8,CROSSING,0.6,0.6
8,0.5,8,CROSSING,0.35,0.35
9,0.5,8,CROSSING,0.45,0.45
10,0.5,8,CROSSING,0.25,0.25
11,0.5,8,CROSSING,0.45,0.45
12,0.5,8,CROSSING,0.45,0.45
13,0.5,8,CROSSING,0.6,0.6
14,0.5,8,CROSSING,0.25,0.25
15,0.5,8,CROSSING,0.35,0.35
16,0.5,8,CROSSING,0.45,0.45
0,0.6,8,CROSSING,0.75,0.75
1,0.6,8,CROSSING,0.75,0.75
2,0.6,8,CROSSING,0.6,0.6
3,0.6,8,CROSSING,0.75,0.75
4,0.6,8,CROSSING,0.6,0.6
5,0.6,8,CROSSING,0.75,0.75
6,0.6,8,CROSSING,0.6,0.6
7,0.6,8,CROSSING,0.75,0.75
8,0.6,8,CROSSING,0.6,0.6
9,0.6,8,CROSSING,0.75,0.75
10,0.6,8,CROSSING,0.45,0.45
11,0.6,8,CROSSING,0.6,0.6
12,0.6,8,CROSSING,0.6,0.6
13,0.6,8,CROSSING,0.75,0.75
14,0.6,8,CROSSING,0.6,0.9
15,0.6,8,CROSSING,0.9,0.9
16,0.6,8,CROSSING,0.75,0.75
0,0.7,8,CROSSING,0.9,0.9
1,0.7,8,CROSSING,0.9,0.9
2,0.7,8,CROSSING,0.9,0.9
3,0.7,8,CROSSING,0.9,0.9
4,0.7,8,CROSSING,0.9,0.9
5,0.7,8,CROSSING,0.9,0.9
6,0.7,8,CROSSING,0.9,0.9
7,0.7,8,NONCROSSING,,
8,0.7,8,CROSSING,0.9,0.9
9,0.7,8,CROSSING,0.75,
10,0.7,8,CROSSING,0.9,0.9
11,0.7,8,NONCROSSING,,
12,0.7,8,CROSSING,0.9,0.9
13,0.7,8,CROSSING,0.9,0.9
14,0.7,8,CROSSING,0.9,0.9
15,0.7,8,NONCROSSING,,
16,0.7,8,CROSSING,0.9,0.9
0,0.8,8,NONCROSSING,,
1,0.8,8,NONCROSSING,,
2,0.8,8,NONCROSSING,,
3,0.8,8,NONCROSSING,,
4,0.8,8,NONCROSSING,,
5,0.8,8,NONCROSSING,,
6,0.8,8,NONCROSSING,,
7,0.8,8,NONCROSSING,,
8,0.8,8,NONCROSSING,,
9,0.8,8,NONCROSSING,,
10,0.8,8,NONCROSSING,,
11,0.8,8,NONCROSSING,,
12,0.8,8,NONCROSSING,,
13,0.8,8,NONCROSSING,,
14,0.8,8,NONCROSSING,,
15,0.8,8,NONCROSSING,,
16,0.8,8,NONCROSSING,,
0,0.9,8,NONCROSSING,,
1,0.9,8,NONCROSSING,,
2,0.9,8,NONCROSSING,,
3,0.9,8,NONCROSSING,,
4,0.9,8,NONCROSSING,,
5,0.9,8,NONCROSSING,,
6,0.9,8,NONCROSSING,,
7,0.9,8,NONCROSSING,,
8,0.9,8,NONCROSSING,,
9,0.9,8,NONCROSSING,,
10,0.9,8,NONCROSSING,,
11,0.9,8,NONCROSSING,,
12,0.9,8,NONCROSSING,,
13,0.9,8,NONCROSSING,,
14,0.9,8,NONCROSSING,,
15,0.9,8,NONCROSSING,,
16,0.9,8,NONCROSSING,,
