video_id,a_independent,n_base_finals,n_confident_base_finals,base_abstention_rate,video_determined
1002,1.0,17,17,0.0,True
1003,0.09090909090909091,17,11,0.3529411764705882,False
1048,0.6153846153846154,17,14,0.17647058823529416,False
1209,0.5294117647058824,17,17,0.0,False
1386,0.7142857142857143,17,7,0.5882352941176471,False
1421,0.8571428571428571,17,14,0.17647058823529416,False
1459,0.31666666666666665,17,16,0.05882352941176472,False
1517,0.4666666666666667,17,10,0.4117647058823529,False
1868,0.06666666666666667,17,6,0.6470588235294117,False
1893,0.4696969696969697,17,12,0.2941176470588235,False
1929,0.5274725274725275,17,14,0.17647058823529416,False
194,0.2948717948717949,17,13,0.23529411764705888,False
1956,1.0,17,17,0.0,True
1964,1.0,17,4,0.7647058823529411,True
2106,0.17857142857142858,17,8,0.5294117647058824,False
2372,0.7523809523809524,17,15,0.11764705882352944,False
2436,0.6,17,5,0.7058823529411764,False
2491,0.5164835164835165,17,14,0.17647058823529416,False
2511,0.17857142857142858,17,8,0.5294117647058824,False
2603,0.875,17,16,0.05882352941176472,False
2689,0.3333333333333333,17,15,0.11764705882352944,False
2803,0.32142857142857145,17,8,0.5294117647058824,False
2817,0.3333333333333333,17,12,0.2941176470588235,False
2881,1.0,17,17,0.0,True
3114,1.0,17,12,0.2941176470588235,True
3273,0.24358974358974358,17,13,0.23529411764705888,False
3411,0.875,17,16,0.05882352941176472,False
3780,0.16666666666666666,17,13,0.23529411764705888,False
3912,1.0,17,17,0.0,True
3985,0.19444444444444445,17,9,0.47058823529411764,False
4170,0.8461538461538461,17,13,0.23529411764705888,False
4268,0.42424242424242425,17,12,0.2941176470588235,False
4283,0.2222222222222222,17,9,0.47058823529411764,False
43,,17,1,0.9411764705882353,False
4315,0.8,17,10,0.4117647058823529,False
4510,0.2777777777777778,17,9,0.47058823529411764,False
452,0.20512820512820512,17,13,0.23529411764705888,False
4563,0.6764705882352942,17,17,0.0,False
457,0.4358974358974359,17,13,0.23529411764705888,False
4635,0.3055555555555556,17,9,0.47058823529411764,False
4863,0.4666666666666667,17,6,0.6470588235294117,False
4935,0.14285714285714285,17,7,0.5882352941176471,False
596,0.19230769230769232,17,13,0.23529411764705888,False
658,1.0,17,17,0.0,True
662,1.0,17,17,0.0,True
819,0.6545454545454545,17,11,0.3529411764705882,False
955,1.0,17,15,0.11764705882352944,True
96,0.4945054945054945,17,14,0.17647058823529416,False
