clip,axis_id,a_independent
2082,class,1.0
2082,material,0.6388064863386351
2082,presence,1.0
2082,timing,1.0
1601,class,0.2
1601,material,0.825858960825847
1601,presence,0.42857142857142855
1601,timing,1.0
3985,class,0.09523809523809523
3985,material,0.7497894495768708
3985,presence,1.0
3985,timing,1.0
3768,class,0.2
3768,material,0.6820724116834714
3768,presence,1.0
3768,timing,1.0
3611,class,1.0
3611,material,0.9043529466368463
3611,presence,1.0
3611,timing,0.25
1479,class,1.0
1479,material,0.9073437447292897
1479,presence,1.0
1479,timing,1.0
4170,class,0.75
4170,material,0.8189196400645062
4170,presence,1.0
4170,timing,1.0
34,class,1.0
34,material,0.9872309534186501
34,presence,1.0
34,timing,0.75
2945,class,1.0
2945,material,0.6244838723443715
2945,presence,1.0
2945,timing,1.0
2177,class,0.1
2177,material,0.800972308033866
2177,presence,0.75
2177,timing,1.0
935,class,0.0
935,material,0.5040397349994208
935,presence,0.42857142857142855
935,timing,1.0
573,class,1.0
573,material,0.6248032889123047
573,presence,0.75
573,timing,1.0
1287,class,0.6
1287,material,0.41062384671513275
1287,presence,0.4642857142857143
1287,timing,0.5357142857142857
3048,class,0.7142857142857143
3048,material,0.6381007098581787
3048,presence,1.0
3048,timing,0.39285714285714285
547,class,0.0
547,material,0.6299169205980002
547,presence,0.5714285714285714
547,timing,0.07142857142857142
481,class,0.17857142857142858
481,material,0.7195677284686699
481,presence,1.0
481,timing,0.75
2555,class,0.6666666666666666
2555,material,0.8137993147346368
2555,presence,1.0
2555,timing,1.0
3370,class,0.4666666666666667
3370,material,0.7740899461149908
3370,presence,0.75
3370,timing,0.75
905,class,1.0
905,material,0.612622073340982
905,presence,0.75
905,timing,0.75
1893,class,0.42857142857142855
1893,material,0.40432381899664743
1893,presence,1.0
1893,timing,1.0
502,class,0.3
502,material,0.7336139715209123
502,presence,1.0
502,timing,0.5714285714285714
1350,class,0.6
1350,material,0.8988862425905654
1350,presence,1.0
1350,timing,1.0
1502,class,nan
1502,material,0.8260796602529573
1502,presence,1.0
1502,timing,0.75
3395,class,0.3333333333333333
3395,material,0.43816340722607494
3395,presence,0.75
3395,timing,1.0
3540,class,0.16666666666666666
3540,material,0.7584682736114688
3540,presence,1.0
3540,timing,0.75
3307,class,0.07142857142857142
3307,material,0.7437004638670082
3307,presence,0.42857142857142855
3307,timing,0.75
3464,class,1.0
3464,material,0.800709825548946
3464,presence,1.0
3464,timing,1.0
338,class,0.3
338,material,0.9068961930916821
338,presence,1.0
338,timing,0.5357142857142857
63,class,1.0
63,material,0.7729541824517495
63,presence,0.5714285714285714
63,timing,1.0
1574,class,nan
1574,material,0.9425954872410783
1574,presence,1.0
1574,timing,1.0
658,class,1.0
658,material,0.9381407398428935
658,presence,1.0
658,timing,0.39285714285714285
4881,class,1.0
4881,material,0.8858850930797803
4881,presence,1.0
4881,timing,1.0
4870,class,0.4666666666666667
4870,material,0.5925060167475314
4870,presence,0.5714285714285714
4870,timing,1.0
691,class,0.3
691,material,0.5073618685114064
691,presence,0.5714285714285714
691,timing,0.75
3411,class,1.0
3411,material,0.8518453784822221
3411,presence,1.0
3411,timing,0.5357142857142857
509,class,0.3
509,material,0.7573962745877162
509,presence,1.0
509,timing,1.0
1048,class,0.6
1048,material,0.8252147045816549
1048,presence,1.0
1048,timing,1.0
1349,class,0.3333333333333333
1349,material,0.800534444349832
1349,presence,0.5714285714285714
1349,timing,0.75
4122,class,1.0
4122,material,0.8133895232248748
4122,presence,1.0
4122,timing,1.0
3056,class,nan
3056,material,0.8547643580704303
3056,presence,1.0
3056,timing,1.0
3637,class,1.0
3637,material,0.7853302331430626
3637,presence,0.75
3637,timing,0.5357142857142857
96,class,0.16666666666666666
96,material,0.9056458569335339
96,presence,0.75
96,timing,1.0
3657,class,1.0
3657,material,0.8957145000970744
3657,presence,1.0
3657,timing,1.0
115,class,0.4
115,material,0.8709761485589148
115,presence,1.0
115,timing,1.0
2469,class,0.7142857142857143
2469,material,0.7586618636717297
2469,presence,1.0
2469,timing,1.0
4398,class,0.26666666666666666
4398,material,0.865989560591674
4398,presence,0.5714285714285714
4398,timing,0.75
4063,class,0.5
4063,material,0.8560489751605722
4063,presence,1.0
4063,timing,1.0
3,class,0.6666666666666666
3,material,0.7180794228812672
3,presence,1.0
3,timing,1.0
986,class,1.0
986,material,0.8131343318959875
986,presence,1.0
986,timing,0.5714285714285714
849,class,1.0
849,material,0.858402512278307
849,presence,1.0
849,timing,0.5714285714285714
646,class,0.3333333333333333
646,material,0.7666431945941887
646,presence,1.0
646,timing,1.0
282,class,0.3
282,material,0.9163111389740523
282,presence,0.42857142857142855
282,timing,1.0
4220,class,0.3333333333333333
4220,material,0.5578286706342463
4220,presence,0.75
4220,timing,1.0
4476,class,0.7142857142857143
4476,material,0.8236208288783275
4476,presence,1.0
4476,timing,1.0
643,class,1.0
643,material,0.9279999732746589
643,presence,0.75
643,timing,1.0
3459,class,0.4666666666666667
3459,material,0.7773807063887617
3459,presence,0.75
3459,timing,1.0
2002,class,0.16666666666666666
2002,material,0.7848345083816336
2002,presence,0.5714285714285714
2002,timing,1.0
4074,class,0.4
4074,material,0.7804195203095319
4074,presence,1.0
4074,timing,0.32142857142857145
1810,class,0.6
1810,material,0.841206409823374
1810,presence,0.75
1810,timing,0.5714285714285714
3475,class,0.3333333333333333
3475,material,0.7476251963013719
3475,presence,0.4642857142857143
3475,timing,1.0
