axis_id,kind,s,follow_rate,retention_rate,neither_rate,n
presence,categorical,0.05,0.85,0.8,0.15,20
presence,categorical,0.15,0.8181818181818182,0.7727272727272727,0.18181818181818182,22
presence,categorical,0.25,0.7777777777777778,0.8888888888888888,0.1111111111111111,18
presence,categorical,0.35,0.75,0.625,0.25,8
presence,categorical,0.45,0.5384615384615384,0.6153846153846154,0.3076923076923077,13
presence,categorical,0.6,0.6666666666666666,1.0,0.0,12
presence,categorical,0.75,0.4,0.8,0.2,5
presence,categorical,0.9,0.6,1.0,0.0,5
timing,categorical,0.05,0.9,0.9,0.05,20
timing,categorical,0.15,0.9090909090909091,0.9545454545454546,0.0,22
timing,categorical,0.25,0.7777777777777778,0.8888888888888888,0.0,18
timing,categorical,0.35,0.875,1.0,0.0,8
timing,categorical,0.45,0.6923076923076923,1.0,0.0,13
timing,categorical,0.6,0.75,1.0,0.0,12
timing,categorical,0.75,0.8,0.8,0.0,5
timing,categorical,0.9,0.8,0.8,0.0,5
class,categorical,0.05,0.45,0.2,0.4,20
class,categorical,0.15,0.3181818181818182,0.18181818181818182,0.5454545454545454,22
class,categorical,0.25,0.2222222222222222,0.1111111111111111,0.7222222222222222,18
class,categorical,0.35,0.25,0.25,0.625,8
class,categorical,0.45,0.23076923076923078,0.5384615384615384,0.38461538461538464,13
class,categorical,0.6,0.3333333333333333,0.75,0.08333333333333333,12
class,categorical,0.75,0.0,1.0,0.0,5
class,categorical,0.9,0.0,1.0,0.0,5
material,embedding,0.05,0.8,0.2,0.0,20
material,embedding,0.15,0.7272727272727273,0.2727272727272727,0.0,22
material,embedding,0.25,0.2777777777777778,0.7222222222222222,0.0,18
material,embedding,0.35,0.25,0.75,0.0,8
material,embedding,0.45,0.0,1.0,0.0,13
material,embedding,0.6,0.0,1.0,0.0,12
material,embedding,0.75,0.0,1.0,0.0,5
material,embedding,0.9,0.0,1.0,0.0,5
